Report Date,County,Place of Fatality,Deaths by County of Residence
11/14/22,Albany,1031,578
11/14/22,Allegany,95,163
11/14/22,Bronx,4937,5528
11/14/22,Broome,677,572
11/14/22,Cattaraugus,249,241
11/14/22,Cayuga,129,169
11/14/22,Chautauqua,315,326
11/14/22,Chemung,323,251
11/14/22,Chenango,76,133
11/14/22,Clinton,158,115
11/14/22,Columbia,174,160
11/14/22,Cortland,110,131
11/14/22,Delaware,28,86
11/14/22,Dutchess,758,710
11/14/22,Erie,3146,2805
11/14/22,Essex,40,71
11/14/22,Franklin,34,52
11/14/22,Fulton,107,181
11/14/22,Genesee,173,203
11/14/22,Greene,37,143
11/14/22,Hamilton,0,5
11/14/22,Herkimer,73,209
11/14/22,Jefferson,127,149
11/14/22,Kings,8408,9285
11/14/22,Lewis,21,53
11/14/22,Livingston,88,129
11/14/22,Madison,127,140
11/14/22,Manhattan,6361,3869
11/14/22,Monroe,2074,1761
11/14/22,Montgomery,199,225
11/14/22,Nassau,5023,4102
11/14/22,Niagara,402,620
11/14/22,Non-NYS,0,530
11/14/22,Oneida,877,847
11/14/22,Onondaga,1412,1149
11/14/22,Ontario,261,203
11/14/22,Orange,1115,1011
11/14/22,Orleans,59,124
11/14/22,Oswego,127,219
11/14/22,Otsego,160,99
11/14/22,Putnam,117,137
11/14/22,Queens,7014,8659
11/14/22,Rensselaer,245,298
11/14/22,Richmond,1470,1500
11/14/22,Rockland,908,943
11/14/22,Saratoga,275,382
11/14/22,Schenectady,323,343
11/14/22,Schoharie,16,41
11/14/22,Schuyler,8,31
11/14/22,Seneca,38,94
11/14/22,St. Lawrence,193,212
11/14/22,Statewide Total,59138,59138
11/14/22,Steuben,212,264
11/14/22,Suffolk,4691,4692
11/14/22,Sullivan,103,143
11/14/22,Tioga,42,89
11/14/22,Tompkins,105,97
11/14/22,Ulster,215,394
11/14/22,Warren,242,142
11/14/22,Washington,42,128
11/14/22,Wayne,114,201
11/14/22,Westchester,3156,2870
11/14/22,Wyoming,72,90
11/14/22,Yates,26,41
11/10/22,Albany,1029,577
11/10/22,Allegany,95,163
11/10/22,Bronx,4935,5527
11/10/22,Broome,673,571
11/10/22,Cattaraugus,248,241
11/10/22,Cayuga,128,168
11/10/22,Chautauqua,314,325
11/10/22,Chemung,321,250
11/10/22,Chenango,76,130
11/10/22,Clinton,158,115
11/10/22,Columbia,173,160
11/10/22,Cortland,110,130
11/10/22,Delaware,28,86
11/10/22,Dutchess,758,710
11/10/22,Erie,3144,2803
11/10/22,Essex,40,71
11/10/22,Franklin,34,52
11/10/22,Fulton,107,181
11/10/22,Genesee,173,203
11/10/22,Greene,37,142
11/10/22,Hamilton,0,5
11/10/22,Herkimer,73,209
11/10/22,Jefferson,127,148
11/10/22,Kings,8398,9273
11/10/22,Lewis,21,53
11/10/22,Livingston,88,129
11/10/22,Madison,127,140
11/10/22,Manhattan,6354,3865
11/10/22,Monroe,2070,1757
11/10/22,Montgomery,199,224
11/10/22,Nassau,5017,4099
11/10/22,Niagara,402,620
11/10/22,Non-NYS,0,527
11/10/22,Oneida,877,847
11/10/22,Onondaga,1411,1149
11/10/22,Ontario,261,203
11/10/22,Orange,1113,1009
11/10/22,Orleans,59,124
11/10/22,Oswego,127,218
11/10/22,Otsego,159,99
11/10/22,Putnam,116,136
11/10/22,Queens,7004,8646
11/10/22,Rensselaer,245,297
11/10/22,Richmond,1469,1499
11/10/22,Rockland,907,941
11/10/22,Saratoga,275,382
11/10/22,Schenectady,323,343
11/10/22,Schoharie,16,41
11/10/22,Schuyler,8,31
11/10/22,Seneca,38,94
11/10/22,St. Lawrence,192,212
11/10/22,Statewide Total,59066,59066
11/10/22,Steuben,212,264
11/10/22,Suffolk,4685,4686
11/10/22,Sullivan,103,143
11/10/22,Tioga,42,89
11/10/22,Tompkins,105,97
11/10/22,Ulster,215,394
11/10/22,Warren,242,142
11/10/22,Washington,42,128
11/10/22,Wayne,113,200
11/10/22,Westchester,3152,2867
11/10/22,Wyoming,72,90
11/10/22,Yates,26,41
11/9/22,Albany,1028,576
11/9/22,Allegany,95,163
11/9/22,Bronx,4934,5526
11/9/22,Broome,672,570
11/9/22,Cattaraugus,248,241
11/9/22,Cayuga,128,168
11/9/22,Chautauqua,314,325
11/9/22,Chemung,320,250
11/9/22,Chenango,76,130
11/9/22,Clinton,157,114
11/9/22,Columbia,173,160
11/9/22,Cortland,110,130
11/9/22,Delaware,28,86
11/9/22,Dutchess,758,710
11/9/22,Erie,3143,2803
11/9/22,Essex,40,71
11/9/22,Franklin,34,52
11/9/22,Fulton,107,181
11/9/22,Genesee,173,203
11/9/22,Greene,37,142
11/9/22,Hamilton,0,5
11/9/22,Herkimer,73,209
11/9/22,Jefferson,127,147
11/9/22,Kings,8395,9269
11/9/22,Lewis,21,53
11/9/22,Livingston,88,129
11/9/22,Madison,127,140
11/9/22,Manhattan,6352,3864
11/9/22,Monroe,2070,1757
11/9/22,Montgomery,199,224
11/9/22,Nassau,5016,4098
11/9/22,Niagara,402,619
11/9/22,Non-NYS,0,527
11/9/22,Oneida,877,847
11/9/22,Onondaga,1409,1148
11/9/22,Ontario,260,202
11/9/22,Orange,1113,1009
11/9/22,Orleans,59,124
11/9/22,Oswego,125,216
11/9/22,Otsego,159,99
11/9/22,Putnam,116,136
11/9/22,Queens,6999,8641
11/9/22,Rensselaer,245,297
11/9/22,Richmond,1469,1499
11/9/22,Rockland,907,941
11/9/22,Saratoga,274,381
11/9/22,Schenectady,322,342
11/9/22,Schoharie,16,41
11/9/22,Schuyler,8,30
11/9/22,Seneca,38,94
11/9/22,St. Lawrence,192,212
11/9/22,Statewide Total,59038,59038
11/9/22,Steuben,212,264
11/9/22,Suffolk,4681,4682
11/9/22,Sullivan,103,143
11/9/22,Tioga,42,89
11/9/22,Tompkins,105,97
11/9/22,Ulster,215,394
11/9/22,Warren,242,142
11/9/22,Washington,42,128
11/9/22,Wayne,113,200
11/9/22,Westchester,3152,2867
11/9/22,Wyoming,72,90
11/9/22,Yates,26,41
11/8/22,Albany,1028,576
11/8/22,Allegany,95,163
11/8/22,Bronx,4933,5525
11/8/22,Broome,671,569
11/8/22,Cattaraugus,248,241
11/8/22,Cayuga,128,168
11/8/22,Chautauqua,314,325
11/8/22,Chemung,320,250
11/8/22,Chenango,76,130
11/8/22,Clinton,157,114
11/8/22,Columbia,173,160
11/8/22,Cortland,110,130
11/8/22,Delaware,28,86
11/8/22,Dutchess,758,710
11/8/22,Erie,3142,2802
11/8/22,Essex,40,71
11/8/22,Franklin,34,52
11/8/22,Fulton,107,181
11/8/22,Genesee,173,203
11/8/22,Greene,37,142
11/8/22,Hamilton,0,5
11/8/22,Herkimer,72,208
11/8/22,Jefferson,127,147
11/8/22,Kings,8393,9267
11/8/22,Lewis,21,53
11/8/22,Livingston,88,129
11/8/22,Madison,127,140
