Region,County,First Dose,Series Complete,Report as of
Capital Region,Albany,254761,231726,11/14/22
Western New York,Allegany,23629,22063,11/14/22
New York City,Bronx,1225792,1088685,11/14/22
Southern Tier,Broome,135771,126482,11/14/22
Western New York,Cattaraugus,44136,40955,11/14/22
Central New York,Cayuga,49997,46699,11/14/22
Western New York,Chautauqua,82083,75555,11/14/22
Southern Tier,Chemung,49607,46617,11/14/22
Southern Tier,Chenango,31489,29658,11/14/22
North Country,Clinton,59422,55831,11/14/22
Capital Region,Columbia,46096,42087,11/14/22
Central New York,Cortland,29855,28149,11/14/22
Southern Tier,Delaware,26715,24778,11/14/22
Mid-Hudson,Dutchess,231477,208604,11/14/22
Western New York,Erie,718286,665803,11/14/22
North Country,Essex,27955,26021,11/14/22
North Country,Franklin,31342,29277,11/14/22
Mohawk Valley,Fulton,30288,28533,11/14/22
Finger Lakes,Genesee,37942,35749,11/14/22
Capital Region,Greene,32436,29523,11/14/22
North Country,Hamilton,3547,3298,11/14/22
Mohawk Valley,Herkimer,37058,34790,11/14/22
North Country,Jefferson,75922,63649,11/14/22
New York City,Kings,2097178,1884408,11/14/22
North Country,Lewis,14516,13831,11/14/22
Finger Lakes,Livingston,40559,38374,11/14/22
Central New York,Madison,54641,51133,11/14/22
Finger Lakes,Monroe,587605,545537,11/14/22
Mohawk Valley,Montgomery,35501,33494,11/14/22
Long Island,Nassau,1253189,1141750,11/14/22
New York City,New York,1629986,1396319,11/14/22
Western New York,Niagara,151127,141997,11/14/22
Mohawk Valley,Oneida,156578,145480,11/14/22
Central New York,Onondaga,369703,339503,11/14/22
Finger Lakes,Ontario,85604,80188,11/14/22
Mid-Hudson,Orange,265080,241284,11/14/22
Finger Lakes,Orleans,24480,23021,11/14/22
Central New York,Oswego,79684,74968,11/14/22
Mohawk Valley,Otsego,40618,37918,11/14/22
Mid-Hudson,Putnam,83285,74782,11/14/22
New York City,Queens,2208011,1983706,11/14/22
Capital Region,Rensselaer,119572,110675,11/14/22
New York City,Richmond,392365,359762,11/14/22
Mid-Hudson,Rockland,233540,210131,11/14/22
Capital Region,Saratoga,188572,175862,11/14/22
Capital Region,Schenectady,136540,126160,11/14/22
Mohawk Valley,Schoharie,19460,18452,11/14/22
Southern Tier,Schuyler,11283,10441,11/14/22
Finger Lakes,Seneca,19687,18432,11/14/22
North Country,St. Lawrence,74400,69379,11/14/22
Southern Tier,Steuben,56286,52868,11/14/22
Long Island,Suffolk,1240762,1128900,11/14/22
Mid-Hudson,Sullivan,51306,46551,11/14/22
Southern Tier,Tioga,25724,24342,11/14/22
Southern Tier,Tompkins,88660,80453,11/14/22
Mid-Hudson,Ulster,148372,135742,11/14/22
Capital Region,Warren,52448,49359,11/14/22
Capital Region,Washington,41926,39772,11/14/22
Finger Lakes,Wayne,65797,61904,11/14/22
Mid-Hudson,Westchester,884223,793749,11/14/22
Finger Lakes,Wyoming,23493,22208,11/14/22
Finger Lakes,Yates,14735,13725,11/14/22
Capital Region,Albany,254746,231719,11/13/22
Western New York,Allegany,23628,22062,11/13/22
New York City,Bronx,1225654,1088593,11/13/22
Southern Tier,Broome,135760,126478,11/13/22
Western New York,Cattaraugus,44135,40954,11/13/22
Central New York,Cayuga,49996,46699,11/13/22
Western New York,Chautauqua,82081,75554,11/13/22
Southern Tier,Chemung,49601,46615,11/13/22
Southern Tier,Chenango,31489,29658,11/13/22
North Country,Clinton,59420,55830,11/13/22
Capital Region,Columbia,46094,42087,11/13/22
Central New York,Cortland,29854,28149,11/13/22
Southern Tier,Delaware,26715,24778,11/13/22
Mid-Hudson,Dutchess,231461,208597,11/13/22
Western New York,Erie,718253,665755,11/13/22
North Country,Essex,27950,26020,11/13/22
North Country,Franklin,31342,29277,11/13/22
Mohawk Valley,Fulton,30288,28531,11/13/22
Finger Lakes,Genesee,37940,35749,11/13/22
Capital Region,Greene,32436,29523,11/13/22
North Country,Hamilton,3547,3298,11/13/22
Mohawk Valley,Herkimer,37056,34788,11/13/22
North Country,Jefferson,75919,63643,11/13/22
New York City,Kings,2096994,1884285,11/13/22
North Country,Lewis,14516,13831,11/13/22
Finger Lakes,Livingston,40557,38374,11/13/22
Central New York,Madison,54641,51131,11/13/22
Finger Lakes,Monroe,587547,545501,11/13/22
Mohawk Valley,Montgomery,35501,33493,11/13/22
Long Island,Nassau,1253142,1141703,11/13/22
New York City,New York,1629822,1396199,11/13/22
Western New York,Niagara,151126,141994,11/13/22
Mohawk Valley,Oneida,156572,145476,11/13/22
Central New York,Onondaga,369687,339476,11/13/22
Finger Lakes,Ontario,85601,80186,11/13/22
Mid-Hudson,Orange,265067,241276,11/13/22
Finger Lakes,Orleans,24478,23017,11/13/22
Central New York,Oswego,79676,74966,11/13/22
Mohawk Valley,Otsego,40617,37918,11/13/22
Mid-Hudson,Putnam,83277,74781,11/13/22
New York City,Queens,2207835,1983581,11/13/22
Capital Region,Rensselaer,119565,110671,11/13/22
New York City,Richmond,392339,359742,11/13/22
Mid-Hudson,Rockland,233531,210124,11/13/22
Capital Region,Saratoga,188567,175860,11/13/22
Capital Region,Schenectady,136532,126156,11/13/22
Mohawk Valley,Schoharie,19460,18452,11/13/22
Southern Tier,Schuyler,11282,10441,11/13/22
Finger Lakes,Seneca,19687,18431,11/13/22
North Country,St. Lawrence,74397,69376,11/13/22
Southern Tier,Steuben,56286,52868,11/13/22
Long Island,Suffolk,1240700,1128837,11/13/22
Mid-Hudson,Sullivan,51305,46551,11/13/22
Southern Tier,Tioga,25724,24342,11/13/22
Southern Tier,Tompkins,88652,80450,11/13/22
Mid-Hudson,Ulster,148367,135707,11/13/22
Capital Region,Warren,52447,49359,11/13/22
Capital Region,Washington,41926,39771,11/13/22
Finger Lakes,Wayne,65791,61901,11/13/22
Mid-Hudson,Westchester,884147,793689,11/13/22
Finger Lakes,Wyoming,23491,22207,11/13/22
Finger Lakes,Yates,14734,13725,11/13/22
Capital Region,Albany,254738,231715,11/12/22
Western New York,Allegany,23628,22062,11/12/22
New York City,Bronx,1225646,1088586,11/12/22
Southern Tier,Broome,135759,126477,11/12/22
Western New York,Cattaraugus,44135,40954,11/12/22
Central New York,Cayuga,49995,46699,11/12/22
Western New York,Chautauqua,82079,75554,11/12/22
Southern Tier,Chemung,49599,46612,11/12/22
Southern Tier,Chenango,31489,29658,11/12/22
North Country,Clinton,59420,55830,11/12/22
Capital Region,Columbia,46094,42087,11/12/22
Central New York,Cortland,29854,28149,11/12/22
Southern Tier,Delaware,26713,24778,11/12/22
Mid-Hudson,Dutchess,231458,208596,11/12/22
Western New York,Erie,718246,665743,11/12/22
North Country,Essex,27950,26020,11/12/22
North Country,Franklin,31338,29276,11/12/22
Mohawk Valley,Fulton,30287,28531,11/12/22
Finger Lakes,Genesee,37938,35747,11/12/22
Capital Region,Greene,32436,29522,11/12/22
North Country,Hamilton,3547,3298,11/12/22
Mohawk Valley,Herkimer,37056,34788,11/12/22
North Country,Jefferson,75917,63642,11/12/22
New York City,Kings,2096937,1884239,11/12/22
North Country,Lewis,14516,13830,11/12/22
Finger Lakes,Livingston,40557,38374,11/12/22
Central New York,Madison,54641,51131,11/12/22
Finger Lakes,Monroe,587528,545491,11/12/22
Mohawk Valley,Montgomery,35501,33493,11/12/22
Long Island,Nassau,1253124,1141692,11/12/22
New York City,New York,1629803,1396187,11/12/22
Western New York,Niagara,151124,141993,11/12/22
Mohawk Valley,Oneida,156569,145475,11/12/22
Central New York,Onondaga,369683,339471,11/12/22
Finger Lakes,Ontario,85600,80186,11/12/22
Mid-Hudson,Orange,265066,241276,11/12/22
Finger Lakes,Orleans,24478,23017,11/12/22
Central New York,Oswego,79676,74966,11/12/22
Mohawk Valley,Otsego,40617,37918,11/12/22
Mid-Hudson,Putnam,83275,74780,11/12/22
New York City,Queens,2207796,1983560,11/12/22
Capital Region,Rensselaer,119560,110664,11/12/22
New York City,Richmond,392335,359737,11/12/22
Mid-Hudson,Rockland,233529,210123,11/12/22
Capital Region,Saratoga,188563,175860,11/12/22
Capital Region,Schenectady,136531,126154,11/12/22
Mohawk Valley,Schoharie,19460,18452,11/12/22
Southern Tier,Schuyler,11281,10441,11/12/22
Finger Lakes,Seneca,19687,18431,11/12/22
North Country,St. Lawrence,74394,69375,11/12/22
Southern Tier,Steuben,56285,52867,11/12/22
Long Island,Suffolk,1240680,1128813,11/12/22
Mid-Hudson,Sullivan,51305,46548,11/12/22
Southern Tier,Tioga,25722,24341,11/12/22
Southern Tier,Tompkins,88651,80449,11/12/22
Mid-Hudson,Ulster,148362,135706,11/12/22
Capital Region,Warren,52447,49359,11/12/22
Capital Region,Washington,41926,39771,11/12/22
Finger Lakes,Wayne,65789,61899,11/12/22
Mid-Hudson,Westchester,884141,793684,11/12/22
Finger Lakes,Wyoming,23491,22207,11/12/22
Finger Lakes,Yates,14734,13725,11/12/22
Capital Region,Albany,254733,231713,11/11/22
Western New York,Allegany,23628,22062,11/11/22
New York City,Bronx,1225619,1088558,11/11/22
Southern Tier,Broome,135755,126475,11/11/22
Western New York,Cattaraugus,44134,40954,11/11/22
Central New York,Cayuga,49994,46699,11/11/22
Western New York,Chautauqua,82077,75552,11/11/22
Southern Tier,Chemung,49595,46607,11/11/22
Southern Tier,Chenango,31489,29655,11/11/22
North Country,Clinton,59420,55830,11/11/22
Capital Region,Columbia,46094,42087,11/11/22
Central New York,Cortland,29853,28147,11/11/22
Southern Tier,Delaware,26712,24775,11/11/22
Mid-Hudson,Dutchess,231452,208594,11/11/22
Western New York,Erie,718228,665729,11/11/22
North Country,Essex,27950,26020,11/11/22
North Country,Franklin,31338,29276,11/11/22
Mohawk Valley,Fulton,30284,28528,11/11/22
Finger Lakes,Genesee,37937,35746,11/11/22
Capital Region,Greene,32431,29522,11/11/22
North Country,Hamilton,3547,3297,11/11/22
Mohawk Valley,Herkimer,37053,34786,11/11/22
North Country,Jefferson,75915,63641,11/11/22
New York City,Kings,2096863,1884184,11/11/22
North Country,Lewis,14516,13830,11/11/22
Finger Lakes,Livingston,40556,38372,11/11/22
Central New York,Madison,54639,51130,11/11/22
Finger Lakes,Monroe,587510,545481,11/11/22
Mohawk Valley,Montgomery,35497,33492,11/11/22
Long Island,Nassau,1253097,1141677,11/11/22
New York City,New York,1629770,1396169,11/11/22
Western New York,Niagara,151118,141991,11/11/22
Mohawk Valley,Oneida,156562,145471,11/11/22
Central New York,Onondaga,369670,339459,11/11/22
Finger Lakes,Ontario,85600,80185,11/11/22
Mid-Hudson,Orange,265060,241273,11/11/22
Finger Lakes,Orleans,24477,23017,11/11/22
Central New York,Oswego,79676,74966,11/11/22
Mohawk Valley,Otsego,40615,37916,11/11/22
Mid-Hudson,Putnam,83274,74775,11/11/22
New York City,Queens,2207712,1983513,11/11/22
Capital Region,Rensselaer,119556,110662,11/11/22
New York City,Richmond,392322,359726,11/11/22
Mid-Hudson,Rockland,233525,210118,11/11/22
